tweet_id,retweet_count,favorite_count
778624900596654080,935,4324
778408200802557953,3984,12812
778396591732486144,11264,0
778383385161035776,1013,5484
778286810187399168,3043,9687
778039087836069888,2445,7951
778027034220126208,1486,6169
777953400541634568,3243,0
777885040357281792,1510,5974
777684233540206592,2711,10561
777641927919427584,3894,0
777621514455814149,2326,8183
777189768882946048,3956,13244
776819012571455488,12493,0
776813020089548800,1109,4596
776477788987613185,2541,8208
776249906839351296,8400,0
776218204058357768,14604,27936
776201521193218049,2319,8988
776113305656188928,3999,11051
776088319444877312,141,1707
775898661951791106,15424,0
775842724423557120,2448,10995
775733305207554048,3684,13006
775729183532220416,4256,12215
775364825476165632,2697,6912
775350846108426240,3608,9522
775085132600442880,4341,14562
774757898236878852,1645,8097
774639387460112384,1604,6330
774314403806253056,5050,20440
773985732834758656,3561,10108
773922284943896577,1614,6032
773704687002451968,1485,6210
773670353721753600,1217,5037
773547596996571136,5654,20718
773336787167145985,4636,0
773308824254029826,6908,21883
773247561583001600,2985,8843
773191612633579521,3779,9338
772877495989305348,3562,8015
772826264096874500,2195,7543
772615324260794368,3094,0
772581559778025472,1574,6077
772193107915964416,1278,5654
772152991789019136,1047,3569
772117678702071809,682,3530
772114945936949249,437,2567
772102971039580160,858,3758
771908950375665664,1745,6149
771770456517009408,3124,11224
771500966810099713,2406,7737
771380798096281600,4636,9868
771171053431250945,6842,0
771136648247640064,2696,8569
771102124360998913,1323,5837
771014301343748096,1532,6456
770787852854652928,1097,4600
770772759874076672,1316,4861
770655142660169732,1658,6890
770414278348247044,1917,5913
770293558247038976,1344,5825
770093767776997377,2794,0
770069151037685760,2114,7111
769940425801170949,8771,29125
769695466921623552,1548,6017
769335591808995329,7093,0
769212283578875904,1588,5061
768970937022709760,5960,13340
768909767477751808,2423,0
768855141948723200,816,3914
768609597686943744,1091,3839
768596291618299904,1183,4717
768554158521745409,5352,0
768473857036525572,3143,12713
768193404517830656,3243,10137
767884188863397888,1261,4447
767754930266464257,4930,14905
767500508068192258,2129,7012
767191397493538821,3447,11473
767122157629476866,2624,9503
766793450729734144,1245,4718
766714921925144576,344,2453
766693177336135680,727,3775
766423258543644672,1444,5607
766313316352462849,1722,6316
766078092750233600,2405,0
766069199026450432,767,3919
766008592277377025,455,3522
765719909049503744,1979,6771
